LSOA21CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median,PM25-2016-min,PM25-2016-max,PM25-2016-mean,PM25-2016-std,PM25-2016-median,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median,PM10-2016-min,PM10-2016-max,PM10-2016-mean,PM10-2016-std,PM10-2016-median,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median,NOx-2016-min,NOx-2016-max,NOx-2016-mean,NOx-2016-std,NOx-2016-median,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median,NO2-2016-min,NO2-2016-max,NO2-2016-mean,NO2-2016-std,NO2-2016-median,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01002758,15.878,18.277,16.155,0.395,16.025,13.255,15.586,13.507,0.381,13.395,10.791,13.931,11.042,0.421,10.91,24.837,31.512,25.521,1.063,25.149,21.891,28.597,22.538,1.084,22.195,16.378,26.3,17.215,1.471,16.734,54.069,172.775,66.348,19.139,59.548,63.471,152.295,72.683,14.786,67.928,43.259,116.865,48.558,9.722,45.387,34.58,72.546,38.946,6.407,36.653,36.575,59.343,39.211,3.907,37.961,28.644,50.005,30.363,2.921,29.424
E01002759,15.87,16.961,16.04,0.172,16.001,13.259,14.418,13.424,0.175,13.385,10.78,11.629,10.928,0.124,10.899,24.807,28.094,25.218,0.524,25.096,21.893,25.507,22.309,0.549,22.187,16.355,19.815,16.869,0.487,16.752,53.969,121.739,61.008,10.968,58.269,63.58,125.201,69.545,9.506,67.342,43.224,65.078,46.183,3.063,45.449,34.486,56.709,37.038,3.646,36.119,36.62,52.319,38.35,2.46,37.782,28.627,35.383,29.653,0.973,29.416
E01002760,16.008,19.02,16.189,0.313,16.086,13.38,16.843,13.548,0.325,13.452,10.878,13.481,11.047,0.311,10.951,25.047,32.694,25.501,0.814,25.232,22.105,31.499,22.552,0.895,22.286,16.617,24.552,17.134,0.957,16.838,57.199,190.12,66.857,16.686,60.475,65.956,188.429,73.461,13.956,68.856,44.349,106.087,48.087,7.156,45.901,35.714,77.35,39.039,5.451,36.963,37.409,66.654,39.434,3.524,38.238,29.099,47.26,30.328,2.242,29.619
E01002762,16.459,20.777,16.766,0.477,16.583,13.815,18.66,14.088,0.446,13.92,11.221,13.937,11.474,0.357,11.339,25.705,38.833,26.507,1.333,26.014,22.997,38.674,23.757,1.328,23.288,17.497,26.618,18.294,1.198,17.852,62.188,276.875,75.286,21.357,67.381,71.674,242.997,79.989,14.542,74.892,49.325,108.83,54.295,7.858,51.25,37.989,100.905,42.636,7.005,39.986,39.706,79.132,42.105,3.901,40.669,31.393,49.897,33.106,2.55,32.111
E01002763,16.514,20.568,17.088,0.803,16.722,13.877,17.667,14.391,0.808,14.047,11.278,15.126,11.783,0.725,11.48,25.936,37.621,27.538,2.23,26.522,23.225,34.373,24.746,2.366,23.726,17.698,30.563,19.335,2.311,18.368,66.246,262.131,92.565,37.855,76.096,74.266,232.786,92.687,29.478,80.429,50.364,162.469,62.146,18.141,54.733,39.591,96.544,48.471,11.764,43.19,40.413,76.151,45.341,7.28,42.235,31.746,60.945,35.429,5.375,33.173
E01002764,16.48,20.159,16.835,0.615,16.614,13.85,18.499,14.219,0.668,13.994,11.276,16.105,11.702,0.804,11.449,25.698,35.564,26.674,1.662,26.083,22.989,36.109,24.016,1.899,23.351,17.657,33.472,19.028,2.682,18.175,62.063,205.639,76.876,25.059,67.826,71.662,214.854,83.654,21.273,76.217,49.689,150.182,58.268,16.219,53.161,37.959,87.189,43.539,8.869,40.305,39.706,75.026,43.122,5.611,41.12,31.6,61.242,34.414,4.916,32.832
E01002765,16.502,19.654,16.874,0.46,16.709,13.852,16.876,14.149,0.429,14.001,11.298,13.667,11.599,0.342,11.486,25.71,33.379,26.457,1.044,26.075,23.012,31.779,23.643,0.992,23.325,17.699,23.704,18.416,0.785,18.135,62.065,194.483,74.889,18.866,67.792,71.578,181.818,79.347,13.307,75.246,49.557,106.497,56.202,8.523,53.136,37.942,81.312,42.389,6.285,40.046,39.696,67.764,41.954,3.503,40.841,31.64,49.018,33.859,2.626,32.881
E01002766,16.507,19.603,16.783,0.448,16.634,13.867,16.81,14.147,0.474,13.991,11.323,13.285,11.526,0.3,11.425,25.72,33.958,26.392,1.18,25.99,23.018,31.324,23.73,1.318,23.295,17.769,23.633,18.373,0.887,18.075,62.085,200.906,72.068,18.934,65.651,71.864,184.563,80.972,17.585,75.229,49.964,97.103,54.396,7.365,51.808,37.978,81.191,41.624,6.432,39.4,39.795,66.757,42.373,4.472,40.871,31.805,47.049,33.344,2.402,32.495
E01002767,16.493,19.73,16.91,0.576,16.687,13.816,18.421,14.183,0.721,13.927,11.239,20.078,11.65,0.984,11.349,25.84,34.106,26.746,1.487,26.227,22.948,35.45,23.887,1.993,23.234,17.49,43.746,18.603,2.902,17.773,64.719,215.356,79.42,24.944,70.387,71.782,268.699,82.814,26.018,74.568,49.747,269.526,59.849,25.625,51.96,38.884,86.586,43.998,8.238,41.072,39.618,82.377,42.615,6.355,40.494,31.522,87.295,34.497,7.035,32.259
E01002768,16.239,18.99,16.594,0.482,16.421,13.628,16.628,13.989,0.487,13.815,11.092,13.993,11.443,0.518,11.273,25.379,32.8,26.316,1.326,25.811,22.475,30.958,23.428,1.394,22.912,17.324,27.27,18.385,1.789,17.776,60.871,203.649,80.496,24.469,70.547,69.4,202.19,82.757,19.318,75.565,47.487,128.892,56.491,14.299,51.73,37.164,80.401,43.537,7.623,40.378,38.717,68.919,42.348,4.836,40.533,30.461,52.449,33.264,4.011,31.918
